rank,variant_name,source_mode,eval_mode,min_bars,gate_total,gate_quality,gate_reliability,gate_5,gate_20,gate_60,gate_sp_plus_4_proxy_avg,gate_coverage,gate_fallback,h5,h20,h60,avg_outcome_over_index_pct,coverage_rate,fallback_rate,policy_path
1,policy_runtime_current,runtime,runtime,252,1,1,0,False,False,False,True,False,False,76.92307692307692,70.79646017699115,47.0,64.90651236668936,0.78066364728718,0.21933635271282004,/workspaces/Tao_Financial_Engine/pscf_policy_runtime.json
2,policy_replay_replay,replay,replay,252,1,1,0,False,False,False,True,False,False,76.92307692307692,70.79646017699115,47.0,64.90651236668936,0.78066364728718,0.21933635271282004,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260306T162326Z.json
3,policy_runtime_current,runtime,runtime,378,1,1,0,False,False,False,True,False,False,76.92307692307692,70.79646017699115,47.0,64.90651236668936,0.7140216286163231,0.2859783713836769,/workspaces/Tao_Financial_Engine/pscf_policy_runtime.json
4,policy_replay_replay,replay,replay,378,1,1,0,False,False,False,True,False,False,76.92307692307692,70.79646017699115,47.0,64.90651236668936,0.7140216286163231,0.2859783713836769,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260306T162326Z.json
5,policy_runtime_current,runtime,runtime,514,1,1,0,False,False,False,True,False,False,76.92307692307692,70.79646017699115,47.0,64.90651236668936,0.6686385063314539,0.33136149366854606,/workspaces/Tao_Financial_Engine/pscf_policy_runtime.json
6,policy_replay_replay,replay,replay,514,1,1,0,False,False,False,True,False,False,76.92307692307692,70.79646017699115,47.0,64.90651236668936,0.6686385063314539,0.33136149366854606,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260306T162326Z.json
7,policy_rowtrace_rowtrace,rowtrace,rowtrace,252,0,0,0,False,False,False,False,False,False,75.0,69.02654867256638,42.5,62.17551622418879,0.78066364728718,0.21933635271282004,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260306T162903Z.json
8,policy_rowtrace_rowtrace,rowtrace,rowtrace,378,0,0,0,False,False,False,False,False,False,75.0,69.02654867256638,42.5,62.17551622418879,0.7140216286163231,0.2859783713836769,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260306T162903Z.json
9,policy_rowtrace_rowtrace,rowtrace,rowtrace,514,0,0,0,False,False,False,False,False,False,75.0,69.02654867256638,42.5,62.17551622418879,0.6686385063314539,0.33136149366854606,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260306T162903Z.json
