t,finance_phi,finance_H,text_phi,text_H,sensor_phi,sensor_H,audio_phi,audio_H,random_phi,random_H,action_node,action_op,action_amount,note
0,0.21126302643600747,0.9718655836806445,0.17410764583582616,0.9589304336681398,0.311501031348108,0.9117760759984594,0.957316020088353,0.3189957860819915,0.12159181332680757,0.9686187058038385,,,,
1,0.3567170523682609,0.9003742601677072,0.14993714349003784,0.9809625120011981,0.4064800599006384,0.9028969993616955,0.9539226240972731,0.23812182805193588,0.22559066831113805,0.9686170141480346,,,,
2,0.23079649421292903,0.9642319285123087,0.20786482601867595,0.9595881206269621,0.33626331928682984,0.9156049996300588,0.9482802735473249,0.25323331917154973,0.16075930366209612,0.9636163853109917,,,,
3,0.15485029175589604,0.9645099969281145,0.18584952748976136,0.9673980428387964,0.5638116992555635,0.8096252387833172,0.9927893284017152,0.1853855949544001,0.24141551227844438,0.9632709575237239,,,,
4,0.18572010227113755,0.9684223057184973,0.15356978212830807,0.9682147372952855,0.4581090178465763,0.8072399170421493,0.990423168681821,0.18577878376081566,0.2827061826771552,0.9681229311105637,,,,
5,0.17013455365950514,0.9667872824259044,0.1832873949734921,0.9731224186764793,0.2919709906600375,0.9584894736543406,0.9946613518322782,0.16839122596940817,0.17858735262637582,0.9739974475325244,,,,
6,0.18849779977374004,0.9601978636738832,0.24372754734826163,0.9748052912866317,0.2959141011691684,0.9340159437072476,0.9938678100265512,0.16218814383397223,0.14535003532285884,0.9603699031647187,,,,
7,0.24173787110662004,0.9729662896388056,0.1387409928491593,0.9589860295884126,0.5995540456110113,0.722288367108934,0.9913542857508278,0.18188797320301872,0.15526816265067045,0.9722570236373447,,,,
8,0.2608075527523036,0.9631393877593922,0.1803431711733745,0.968591612614925,0.3688520148013351,0.9167568722134165,0.9933839610751576,0.17404337232269715,0.20357659030406283,0.9742998588662853,,,,
9,0.23660156912772445,0.9483602297774881,0.2523515177722715,0.9523361561760032,0.2863664831391488,0.940036193182982,0.992608087021064,0.18454765677760482,0.28182772679557155,0.9625190305176062,,,,
10,0.27894764243864945,0.9628250614549255,0.12149153264950718,0.9663536152525891,0.24853260271616529,0.9581970257543645,0.9931713577567659,0.17390817107725973,0.2864324510825633,0.9714627733382383,,,,
11,0.3973470255828907,0.9357550923859342,0.258254038829941,0.9696531392078146,0.40783890996752814,0.8859710587819258,0.9925301931263707,0.17350768524216037,0.21561577300692436,0.9641166759078749,,,,
12,0.2588514549506308,0.958796189178404,0.2547460446749925,0.965951584519047,0.39664663800371347,0.9076244899661756,0.9929586828634952,0.16507280023474105,0.15138894965824834,0.959103571715953,,,,
