rank,variant_name,source_mode,eval_mode,min_bars,gate_total,gate_quality,gate_reliability,gate_5,gate_20,gate_60,gate_sp_plus_4_proxy_avg,gate_coverage,gate_fallback,h5,h20,h60,avg_outcome_over_index_pct,coverage_rate,fallback_rate,policy_path
1,policy_runtime_current,runtime,runtime,252,4,4,0,True,True,True,True,False,False,76.92307692307692,63.716814159292035,44.5,61.71329702745632,0.7789999075700157,0.22100009242998428,/workspaces/Tao_Financial_Engine/pscf_policy_runtime.json
2,policy_runtime_current,runtime,runtime,378,4,4,0,True,True,True,True,False,False,76.92307692307692,63.716814159292035,44.5,61.71329702745632,0.7136519086791755,0.28634809132082445,/workspaces/Tao_Financial_Engine/pscf_policy_runtime.json
3,policy_runtime_current,runtime,runtime,514,4,4,0,True,True,True,True,False,False,76.92307692307692,63.716814159292035,44.5,61.71329702745632,0.6683612163785932,0.3316387836214068,/workspaces/Tao_Financial_Engine/pscf_policy_runtime.json
4,policy_rowtrace_rowtrace,rowtrace,rowtrace,252,1,1,0,False,True,False,False,False,False,75.0,66.3716814159292,40.5,60.623893805309734,0.7789999075700157,0.22100009242998428,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260305T001830Z.json
5,policy_rowtrace_rowtrace,rowtrace,rowtrace,378,1,1,0,False,True,False,False,False,False,75.0,66.3716814159292,40.5,60.623893805309734,0.7136519086791755,0.28634809132082445,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260305T001830Z.json
6,policy_rowtrace_rowtrace,rowtrace,rowtrace,514,1,1,0,False,True,False,False,False,False,75.0,66.3716814159292,40.5,60.623893805309734,0.6683612163785932,0.3316387836214068,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260305T001830Z.json
7,policy_replay_replay,replay,replay,252,1,1,0,False,True,False,False,False,False,73.07692307692308,64.60176991150442,32.0,56.559564329475826,0.7789999075700157,0.22100009242998428,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260305T001055Z.json
8,policy_replay_replay,replay,replay,378,1,1,0,False,True,False,False,False,False,73.07692307692308,64.60176991150442,32.0,56.559564329475826,0.7136519086791755,0.28634809132082445,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260305T001055Z.json
9,policy_replay_replay,replay,replay,514,1,1,0,False,True,False,False,False,False,73.07692307692308,64.60176991150442,32.0,56.559564329475826,0.6683612163785932,0.3316387836214068,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260305T001055Z.json
