ticker,date,bar_count,s_n_quarantine,s_n_production,abs_diff,F_n_quarantine,F_n_production,F_n_abs_diff,cohort,pass_strict
AAAU,2020-04-02,2,0.39633807760592377,0.39633807760592377,0.0,0.9069891373968254,0.9069891373968254,0.0,W1,True
AAAU,2020-04-03,3,0.5418669808214186,0.5418669808214186,0.0,0.9498609325895562,0.9498609325895562,0.0,W1,True
AAAU,2020-04-06,4,1.2371822007857476,1.2371822007857476,0.0,1.5912231069179519,1.5912231069179519,0.0,W1,True
AAAU,2020-04-08,6,0.9893319094600147,0.9893319094600147,0.0,1.4034794547080875,1.4034794547080875,0.0,W1,True
AAAU,2020-04-09,7,1.0912766829405074,1.0912766829405074,0.0,1.4583690882107916,1.4583690882107916,0.0,W1,True
AAAU,2020-04-13,8,0.9176031393051608,0.9176031393051608,0.0,1.2946811171112202,1.2946811171112202,0.0,W1,True
AAAU,2020-04-14,9,0.9778662710874859,0.9778662710874859,0.0,1.3312747213548208,1.3312747213548208,0.0,W1,True
AAAU,2020-04-15,10,0.9401116033528996,0.9401116033528996,0.0,1.2947118583882218,1.2947118583882218,0.0,W1,True
AAAU,2020-04-16,11,0.8473206696953685,0.8473206696953685,0.0,1.2055231596543976,1.2055231596543976,0.0,W1,True
AAAU,2020-04-17,12,1.0391980961648162,1.0391980961648162,0.0,1.3995361291433217,1.3995361291433217,0.0,W1,True
AAAU,2020-04-20,13,0.9260205017398159,0.9260205017398159,0.0,1.2867851444889915,1.2867851444889915,0.0,W1,True
AAAU,2020-04-21,14,1.0260867009853216,1.0260867009853216,0.0,1.3954248250592207,1.3954248250592207,0.0,W1,True
AAAU,2020-04-22,15,0.9447253085982992,0.9447253085982992,0.0,1.3060415537501209,1.3060415537501209,0.0,W1,True
AAAU,2020-04-23,16,1.0683458312643657,1.0683458312643657,0.0,1.4396084135152498,1.4396084135152498,0.0,W1,True
AAAU,2020-04-24,17,0.4310275450466983,0.4310275450466983,0.0,0.7790345279964598,0.7790345279964598,0.0,W1,True
AAAU,2020-04-27,18,1.048566501873487,1.048566501873487,0.0,1.4068025083958808,1.4068025083958808,0.0,W1,True
AAAU,2020-04-28,19,1.1278454846561197,1.1278454846561197,0.0,1.4747299225324664,1.4747299225324664,0.0,W1,True
AAAU,2020-04-29,20,0.5748605147060053,0.5748605147060053,0.0,0.9319928585561018,0.9319928585561018,0.0,W1,True
AAAU,2020-04-30,21,1.0232653071110243,1.0232653071110243,0.0,1.3833064743816537,1.3833064743816537,0.0,EST,False
AAAU,2020-05-01,22,0.9267663085568205,0.9267663085568205,0.0,1.2907672743375738,1.2907672743375738,0.0,EST,False
AAAU,2020-05-05,24,1.2823097226403235,1.2823097226403235,0.0,1.7065847070312765,1.7065847070312765,0.0,EST,False
AAAU,2020-05-06,25,1.1808529443060416,1.1808529443060416,0.0,1.5431356706360522,1.5431356706360522,0.0,EST,False
AAAU,2020-05-07,26,1.0146522860679685,1.0146522860679685,0.0,1.3800578984391279,1.3800578984391279,0.0,EST,False
AAAU,2020-05-11,28,0.9461846976715563,0.9461846976715563,0.0,1.3670342448569173,1.3670342448569173,0.0,EST,False
AAAU,2020-05-14,31,0.8548545339733344,0.8548545339733344,0.0,1.265652496136057,1.265652496136057,0.0,EST,False
AAAU,2020-05-15,32,1.465081275308658,1.465081275308658,0.0,1.82333967357564,1.82333967357564,0.0,EST,False
AAAU,2020-05-18,33,0.9271373301300369,0.9271373301300369,0.0,1.2887152970430211,1.2887152970430211,0.0,EST,False
AAAU,2020-05-19,34,0.9237294793984928,0.9237294793984928,0.0,1.2895209212360053,1.2895209212360053,0.0,EST,False
AAAU,2020-05-20,35,1.507871740184847,1.507871740184847,0.0,1.8805440768533346,1.8805440768533346,0.0,EST,False
AAAU,2020-05-21,36,0.9617697845087486,0.9617697845087486,0.0,1.3306549222020152,1.3306549222020152,0.0,EST,False
AAAU,2020-05-22,37,0.9361873625318717,0.9361873625318717,0.0,1.3064463170719018,1.3064463170719018,0.0,EST,False
AAAU,2020-05-26,38,1.5858333714169937,1.5858333714169937,0.0,1.956765050619843,1.956765050619843,0.0,EST,False
AACG,2020-04-27,18,0.5685171348037295,0.5685171348037295,0.0,0.9999759624643354,0.9999759624643354,0.0,W1,True
AACG,2020-05-21,36,1.1610123311319285,1.1610123311319285,0.0,1.5516545619346125,1.5516545619346125,0.0,EST,False
