trade_idx,ticker,entry_date,bar_count_at_entry,spy_dk_at_entry,species_classification,W1,W2,W3,cohort,days_held,pnl_pct,exit_reason
38,DAIO,2021-06-28,313,0,,False,False,False,noW3,9,-0.111131,exit_f_catastrophic
39,GAIA,2021-06-28,313,0,,False,False,False,noW3,9,-0.109974,exit_f_catastrophic
40,DLTH,2021-07-06,318,0,,False,False,False,noW3,1,0.024185,exit_a_not_accumulate
41,SLB,2021-06-14,303,0,,False,False,False,noW3,24,-0.103641,exit_f_catastrophic
42,ADT,2021-06-14,303,0,,False,False,False,noW3,24,-0.105445,exit_f_catastrophic
43,GEL,2021-06-18,307,0,,False,False,False,noW3,20,-0.008182,exit_a_not_accumulate
44,AAL,2021-06-24,311,0,,False,False,False,noW3,15,-0.064487,exit_a_not_accumulate
45,LOMA,2021-07-02,317,0,,False,False,False,noW3,10,0.078287,exit_a_not_accumulate
46,NTIC,2021-06-30,315,0,,False,False,False,noW3,13,0.152571,exit_a_not_accumulate
47,OII,2021-07-06,318,0,,False,False,False,noW3,7,-0.014599,exit_a_not_accumulate
48,BBVA,2021-06-14,303,0,,False,False,False,noW3,30,-0.054096,exit_a_not_accumulate
49,MD,2021-06-14,303,0,,False,False,False,noW3,30,-0.117629,exit_f_catastrophic
50,LMAT,2021-06-30,315,0,,False,False,False,noW3,14,-0.10813,exit_f_catastrophic
51,DBX,2021-07-08,320,0,,False,False,False,noW3,7,-0.031048,exit_a_not_accumulate
52,OVLY,2021-07-09,321,0,,False,False,False,noW3,6,0.002332,exit_a_not_accumulate
53,HWBK,2021-07-09,321,0,,False,False,False,noW3,6,0.017099,exit_a_not_accumulate
54,NOV,2021-06-24,311,0,,False,False,False,noW3,22,-0.11501,exit_f_catastrophic
55,TWIN,2021-07-01,316,0,,False,False,False,noW3,15,-0.040222,exit_a_not_accumulate
56,SLB,2021-07-08,320,0,,False,False,False,noW3,8,-0.100968,exit_f_catastrophic
57,CRK,2021-07-13,323,0,,False,False,False,noW3,3,-0.116641,exit_f_catastrophic
58,PAGP,2021-06-18,307,0,,False,False,False,noW3,31,-0.137339,exit_f_catastrophic
59,PAA,2021-06-18,307,0,,False,False,False,noW3,31,-0.138739,exit_f_catastrophic
60,DRH,2021-06-29,314,0,,False,False,False,noW3,20,-0.111925,exit_f_catastrophic
61,HP,2021-07-16,326,0,,False,False,False,noW3,3,0.014947,exit_a_not_accumulate
62,HCSG,2021-06-14,303,0,,False,False,False,noW3,36,-0.035176,exit_a_not_accumulate
63,DLTH,2021-07-13,323,0,,False,False,False,noW3,7,-0.04322,exit_a_not_accumulate
64,CRK,2021-07-19,327,0,,False,False,False,noW3,1,0.028369,exit_a_not_accumulate
65,DBX,2021-07-19,327,0,,False,False,False,noW3,1,0.018704,exit_a_not_accumulate
66,SCVL,2021-06-14,303,0,,False,False,False,noW3,37,0.010878,exit_a_not_accumulate
67,GIL,2021-06-14,303,0,,False,False,False,noW3,42,-0.03309,exit_a_not_accumulate
68,NAVI,2021-07-22,330,0,,False,False,False,noW3,4,0.006869,exit_a_not_accumulate
69,SPH,2021-07-22,330,0,,False,False,False,noW3,4,0.003205,exit_a_not_accumulate
70,VNDA,2021-06-14,303,0,,False,False,False,noW3,43,-0.004642,exit_a_not_accumulate
71,MBI,2021-07-08,320,0,,False,False,False,noW3,19,0.197761,exit_a_not_accumulate
72,IHRT,2021-07-14,324,0,,False,False,False,noW3,13,0.028688,exit_a_not_accumulate
73,OSUR,2021-07-14,324,0,,False,False,False,noW3,13,0.094301,exit_a_not_accumulate
74,ACTG,2021-07-21,329,0,,False,False,False,noW3,6,-0.115955,exit_f_catastrophic
75,PPIH,2021-07-06,315,0,,False,False,False,noW3,23,-0.027778,exit_a_not_accumulate
76,ADT,2021-07-08,320,0,,False,False,False,noW3,21,0.010496,exit_a_not_accumulate
77,NOA,2021-07-22,330,0,,False,False,False,noW3,7,-0.041184,exit_a_not_accumulate
78,DAIO,2021-07-07,319,0,,False,False,False,noW3,27,0.113014,exit_a_not_accumulate
79,USAU,2021-07-28,334,0,,False,False,False,noW3,7,-0.020231,exit_a_not_accumulate
80,TWIN,2021-08-02,337,0,,False,False,False,noW3,2,0.076818,exit_a_not_accumulate
