ticker,delta_bar,n_rows,classification
BOX,0.2515520984327999,1556,normal
BP,0.2763916526033846,1562,volatile
BPRN,0.24475484905157308,1528,normal
BPYPN,0.21862561702350747,1261,normal
BPYPO,0.22576490056637225,1326,normal
BRC,0.23654394187397806,1562,normal
BRF,0.2701904765320294,1521,volatile
BRN,0.1946172310370009,439,calm
BRT,0.2785071668802154,1505,volatile
BSAC,0.2644237019841489,1550,normal
BSBK,0.2308583430814548,796,normal
BSBR,0.22605262973364282,996,normal
BSCR,0.21270297935643379,187,calm
BSCS,0.2178617371478904,299,normal
BSCT,0.19620673485054357,338,calm
BSEP,0.21919548692687374,1348,normal
BSET,0.21761784377883633,1536,normal
BSJQ,0.24971955248398417,451,normal
BSJR,0.23425228385923305,552,normal
BSM,0.2638960398777239,1413,normal
BSMQ,0.2452313407700033,83,normal
BSMT,0.1653292919331305,272,calm
BSRR,0.23328497608397533,1550,normal
BSVN,0.25759378781859515,1542,normal
BSX,0.1881912853872436,1562,calm
BTG,0.24224784352036433,813,normal
BTU,0.2757164085882271,1523,volatile
BUD,0.2693406206669826,1562,normal
BUG,0.25520292468674294,1560,normal
BV,0.2736272881782409,1480,volatile
BVN,0.22298211299797974,1468,normal
BW,0.1936879230458839,1136,calm
BWA,0.2531860937350911,1561,normal
BWFG,0.27074663443511743,1555,volatile
BWX,0.2532633514872859,992,normal
BWXT,0.16186708115677928,1561,calm
BWZ,0.24635938143685704,955,normal
BXMT,0.2597506123001378,1546,normal
BY,0.22180071158207126,1555,normal
BYD,0.32307950162722787,1562,volatile
BYLD,0.23496852695687515,376,normal
BYND,0.12878147182498678,1357,calm
BZH,0.2425362935537064,1559,normal
BZQ,0.128200121158902,1561,calm
C,0.23988764508361649,1561,normal
CAAP,0.24447637365439495,1226,normal
CAAS,0.16893480379990922,845,calm
CABA,0.2051775885532049,1326,calm
CAC,0.2715628714988548,1562,volatile
CAG,0.2815864777502767,1554,volatile
CAL,0.25850966331011127,1561,normal
CALF,0.27637126687668245,1560,volatile
CALM,0.20252670910973794,1561,calm
CALX,0.2330117899648669,1561,normal
CANG,0.15948833709648574,836,calm
CARE,0.27949562461901956,1510,volatile
CARS,0.23748897491830698,1545,normal
CARZ,0.23705377579919307,1562,normal
CASH,0.2572904158296975,1562,normal
CASS,0.28762998412966834,1561,volatile
CATY,0.29100208842567116,1562,volatile
CBAN,0.260176275774755,1387,normal
CBNK,0.26019819188693,1545,normal
CBON,0.2593216922176278,375,normal
CBRE,0.2062442872001105,1562,calm
CBSH,0.304266864641814,1562,volatile
CBU,0.28626811670038993,1562,volatile
CCB,0.2136231386846424,1562,calm
CCBG,0.28149246090053837,1553,volatile
CCD,0.26872963916541953,1503,normal
CCEP,0.27758888619657734,1561,volatile
CCL,0.2586197936802797,1558,normal
CCM,0.16728339677409276,1422,calm
CCOR,0.24650210794211352,1199,normal
CCU,0.302761615909418,1489,volatile
CDC,0.25718044802936535,1524,normal
CDE,0.19217540698798688,1375,calm
CDZI,0.23363083988143976,1088,normal
CEFS,0.24699660474212465,1177,normal
CELC,0.14567513930358025,1538,calm
CEMB,0.23325978077868634,1018,normal
CENT,0.286790626648494,1561,volatile
CENTA,0.27882819091270516,1560,volatile
CEPU,0.1765812819834767,1154,calm
CEVA,0.218435788828405,1561,normal
CEW,0.23905171357392366,455,normal
CFBK,0.26496571531971796,1358,normal
CFFI,0.27128055128662343,1550,volatile
CFFN,0.24228583302898332,1035,normal
CFO,0.22707102516265312,1556,normal
CG,0.328994250626,1562,volatile
CGBD,0.2654929674368947,1301,normal
CGEN,0.19750218005050107,756,calm
CGO,0.25691750582907225,1045,normal
CGW,0.29896769141266927,1561,volatile
CHAU,0.2159034571286701,1548,normal
CHCI,0.1912124092380293,1110,calm
CHD,0.32755133939471043,1561,volatile
CHGG,0.1690371948956998,1238,calm
CHGX,0.15490709906183844,1518,calm
CHI,0.2674472511301493,1042,normal
CHMG,0.2529036958286023,1539,normal
CHMI,0.21770037545395052,686,normal
CHRW,0.19756226361037366,1562,calm
CHW,0.23748243641172528,616,normal
CHY,0.2748773859615715,1057,volatile
CIA,0.23038917008320736,900,normal
CIB,0.22261636898627293,1561,normal
CIG,0.32462583744597906,60,volatile
CIM,0.2268487836585143,1515,normal
CLB,0.2715734153325725,1558,volatile
CLF,0.28563623998374216,1548,volatile
CLFD,0.15866099797025796,1558,calm
CLIX,0.2745993856691062,1561,volatile
CLLS,0.1929459691542728,1048,calm
CLMT,0.2448183813223372,1426,normal
CLNE,0.20042369637581792,967,calm
CLPR,0.25259026729239437,1061,normal
CLPS,0.16755969183300654,400,calm
CLPT,0.19740885868851527,1523,calm
CLRO,0.17617196000753413,1511,calm
CLS,0.1286849469861868,1496,calm
CLW,0.22119583837101284,1561,normal
CLWT,0.20946056985916128,238,calm
CM,0.23855852039569447,1561,normal
CMBS,0.2460626153759166,1105,normal
CMC,0.2898982940727434,1561,volatile
CMCL,0.2284956339710409,1553,normal
CMCM,0.16916144811826755,1197,calm
CMCO,0.22860537185435603,1561,normal
CMCSA,0.23657303897090926,1562,normal
CMDY,0.1997945140722863,1558,calm
CMF,0.24522458788918577,959,normal
CMRE,0.2568839543061755,1480,normal
CMS,0.28285485525928733,1561,volatile
CMT,0.18134743347668517,1521,calm
