file_idx,chunk,phi,energy,alpha,file
0,0,0.05265225284430419,0.03298785910010338,0.3934282884955065,finance_news.txt
1,0,0.14930380107783306,0.048165738582611084,0.4272563303772416,weather_noaa.txt
2,0,0.11802191410150126,0.06114303320646286,0.4163076699355255,Nicomachean by Aristotle.txt
2,1,0.1070118179138617,0.06478691846132278,0.4124541362698516,Nicomachean by Aristotle.txt
2,2,0.09570937236092265,0.06704234331846237,0.40849828032632296,Nicomachean by Aristotle.txt
2,3,0.13801096382980155,0.06805547326803207,0.4233038373404306,Nicomachean by Aristotle.txt
2,4,0.23570837109515877,0.0635296180844307,0.4574979298833056,Nicomachean by Aristotle.txt
2,5,0.25098139552315873,0.06839494407176971,0.46284348843310563,Nicomachean by Aristotle.txt
2,6,0.15779487858308217,0.07277780026197433,0.43022820750407886,Nicomachean by Aristotle.txt
2,7,0.2118448591928692,0.07007559388875961,0.4491457007175043,Nicomachean by Aristotle.txt
2,8,0.3436954968909506,0.06923617422580719,0.4952934239118328,Nicomachean by Aristotle.txt
2,9,0.3527943389061582,0.0765223279595375,0.49847801861715546,Nicomachean by Aristotle.txt
2,10,0.42535694223994147,0.0807890072464943,0.5238749297839796,Nicomachean by Aristotle.txt
2,11,0.3677619033815376,0.07876937091350555,0.5037166661835383,Nicomachean by Aristotle.txt
2,12,0.36234393322932357,0.0830455869436264,0.5018203766302634,Nicomachean by Aristotle.txt
2,13,0.3552357813004028,0.08196055889129639,0.49933252345514106,Nicomachean by Aristotle.txt
2,14,0.3365435870596757,0.07849043607711792,0.49279025547088656,Nicomachean by Aristotle.txt
2,15,0.27294141340861144,0.08193852752447128,0.4705294946930141,Nicomachean by Aristotle.txt
2,16,0.3516510350250456,0.0885842889547348,0.49807786225876605,Nicomachean by Aristotle.txt
2,17,0.3452380751297411,0.08418537676334381,0.4958333262954095,Nicomachean by Aristotle.txt
2,18,0.27886268571770717,0.08162975311279297,0.4726019400011976,Nicomachean by Aristotle.txt
2,19,0.30062454563697366,0.07404414564371109,0.48021859097294084,Nicomachean by Aristotle.txt
2,20,0.31653886384211405,0.06837525218725204,0.48578860234474,Nicomachean by Aristotle.txt
2,21,0.31883640261471324,0.06710149347782135,0.4865927409151497,Nicomachean by Aristotle.txt
2,22,0.3453673469904279,0.07182382047176361,0.4958785714466498,Nicomachean by Aristotle.txt
2,23,0.3142543267273998,0.07323066890239716,0.48498901435458996,Nicomachean by Aristotle.txt
2,24,0.3298203843691325,0.06861498206853867,0.4904371345291964,Nicomachean by Aristotle.txt
2,25,0.3439406194250415,0.06999722868204117,0.49537921679876457,Nicomachean by Aristotle.txt
2,26,0.30900601116112514,0.06869661062955856,0.48315210390639385,Nicomachean by Aristotle.txt
2,27,0.3154630772530149,0.06809590011835098,0.48541207703855527,Nicomachean by Aristotle.txt
2,28,0.37710406024371246,0.06811245530843735,0.5069864210852995,Nicomachean by Aristotle.txt
2,29,0.3942857264094328,0.06412367522716522,0.5130000042433016,Nicomachean by Aristotle.txt
2,30,0.4116844982041046,0.07093724608421326,0.5190895743714368,Nicomachean by Aristotle.txt
2,31,0.45487653026004055,0.06423209607601166,0.5342067855910143,Nicomachean by Aristotle.txt
2,32,0.3437749187337013,0.060589857399463654,0.4953212215567956,Nicomachean by Aristotle.txt
2,33,0.34383800154932354,0.06743474304676056,0.4953433005422634,Nicomachean by Aristotle.txt
2,34,0.36478845590752246,0.07111633569002151,0.502675959567633,Nicomachean by Aristotle.txt
2,35,0.3612015561405364,0.07431667298078537,0.5014205446491878,Nicomachean by Aristotle.txt
2,36,0.3596981899729174,0.07453734427690506,0.5008943664905212,Nicomachean by Aristotle.txt
2,37,0.34812765414496266,0.06461209058761597,0.49684467895073703,Nicomachean by Aristotle.txt
2,38,0.32864363551377024,0.06561226397752762,0.4900252724298197,Nicomachean by Aristotle.txt
2,39,0.32994801542389246,0.07031195610761642,0.49048180539836245,Nicomachean by Aristotle.txt
2,40,0.33445227243939996,0.06146180257201195,0.4920582953537901,Nicomachean by Aristotle.txt
2,41,0.35704439806830907,0.057743728160858154,0.4999655393239083,Nicomachean by Aristotle.txt
2,42,0.38365894826338093,0.06358258426189423,0.5092806318921834,Nicomachean by Aristotle.txt
2,43,0.3571920132458896,0.06401101499795914,0.5000172046360615,Nicomachean by Aristotle.txt
2,44,0.3381779359082347,0.07184328883886337,0.49336227756788226,Nicomachean by Aristotle.txt
2,45,0.34150549710591327,0.07656031101942062,0.49452692398706977,Nicomachean by Aristotle.txt
2,46,0.3629911427517718,0.07122141867876053,0.5020468999631202,Nicomachean by Aristotle.txt
2,47,0.38357182742530654,0.07212384790182114,0.5092501395988575,Nicomachean by Aristotle.txt
2,48,0.33081952233080036,0.07427822798490524,0.4907868328157803,Nicomachean by Aristotle.txt
2,49,0.3322573405767481,0.07370461523532867,0.49129006920186197,Nicomachean by Aristotle.txt
2,50,0.398777520565147,0.07381779700517654,0.5145721321978016,Nicomachean by Aristotle.txt
2,51,0.35029478616641885,0.06743446737527847,0.49760317515824676,Nicomachean by Aristotle.txt
2,52,0.3580942728642518,0.07316286116838455,0.5003329955024883,Nicomachean by Aristotle.txt
2,53,0.3645858656318159,0.06943861395120621,0.5026050529711358,Nicomachean by Aristotle.txt
2,54,0.3894114755146754,0.07808201014995575,0.5112940164301366,Nicomachean by Aristotle.txt
2,55,0.37094754623376636,0.07541383057832718,0.5048316411818184,Nicomachean by Aristotle.txt
2,56,0.2965626493731754,0.06747240573167801,0.47879692728061163,Nicomachean by Aristotle.txt
2,57,0.2983686908460205,0.06541495025157928,0.4794290417961074,Nicomachean by Aristotle.txt
2,58,0.35678650466058126,0.07699085026979446,0.4998752766312037,Nicomachean by Aristotle.txt
2,59,0.3561303029497205,0.07255569845438004,0.49964560603240243,Nicomachean by Aristotle.txt
3,0,0.45817299622678065,0.07324551045894623,0.5353605486793735,Speech 1 The Personal Compass.txt
3,1,0.4653585659903996,0.08313234895467758,0.5378754980966401,Speech 1 The Personal Compass.txt
4,0,0.4025716603297646,0.08256711810827255,0.5159000811154179,Speech 2 The Coffee Bean Principle.txt
4,1,0.3819824831672857,0.07472945749759674,0.5086938691085503,Speech 2 The Coffee Bean Principle.txt
5,0,0.3824034790592432,0.07367164641618729,0.5088412176707354,Speech 3 The Power and Responsibili.txt
5,1,0.33287804110881164,0.056644853204488754,0.49150731438808437,Speech 3 The Power and Responsibili.txt
6,0,0.3669141448537541,0.05912772938609123,0.5034199506988143,Frankenstein.txt
6,1,0.35662089443161604,0.05224044993519783,0.49981731305106597,Frankenstein.txt
6,2,0.3349433080255678,0.06676491349935532,0.4922301578089491,Frankenstein.txt
6,3,0.34505054728267875,0.07244519144296646,0.4957676915489379,Frankenstein.txt
6,4,0.3927707681212679,0.0683780238032341,0.5124697688424441,Frankenstein.txt
6,5,0.3715500497239415,0.07151611894369125,0.5050425174033799,Frankenstein.txt
6,6,0.3690138764109862,0.06256390362977982,0.5041548567438455,Frankenstein.txt
6,7,0.39646025812740465,0.06508257985115051,0.5137610903445919,Frankenstein.txt
6,8,0.39799386999859365,0.06318456679582596,0.514297854499508,Frankenstein.txt
6,9,0.4375070855108275,0.07117404043674469,0.52812747992879,Frankenstein.txt
6,10,0.34310727353166115,0.07544361054897308,0.4950875457360817,Frankenstein.txt
6,11,0.3489943174109371,0.07179474085569382,0.4971480110938283,Frankenstein.txt
6,12,0.3465282014401755,0.06619588285684586,0.4962848705040617,Frankenstein.txt
6,13,0.33044728942886753,0.07605772465467453,0.49065655130010394,Frankenstein.txt
6,14,0.37233778656888805,0.07527215033769608,0.5053182252991111,Frankenstein.txt
6,15,0.3812259785097646,0.07580097019672394,0.5084290924784178,Frankenstein.txt
6,16,0.4742150007502916,0.08131414651870728,0.5409752502626023,Frankenstein.txt
6,17,0.3543216265871228,0.07548283040523529,0.4990125693054932,Frankenstein.txt
6,18,0.3752561994082291,0.08010416477918625,0.5063396697928804,Frankenstein.txt
6,19,0.34470705866250934,0.0667705237865448,0.49564747053187846,Frankenstein.txt
6,20,0.39413711535439216,0.06719120591878891,0.5129479903740375,Frankenstein.txt
6,21,0.3570825799817366,0.08009731769561768,0.49997890299360803,Frankenstein.txt
6,22,0.3918170754164884,0.08513200283050537,0.5121359763957711,Frankenstein.txt
6,23,0.35165307286091946,0.0806894451379776,0.498078575501322,Frankenstein.txt
6,24,0.298834669915379,0.0799194723367691,0.47959213447038285,Frankenstein.txt
6,25,0.2966217775852964,0.06950075924396515,0.47881762215485396,Frankenstein.txt
6,26,0.3915409144650456,0.07484609633684158,0.5120393200627662,Frankenstein.txt
6,27,0.3817861401773044,0.07800687849521637,0.5086251490620568,Frankenstein.txt
6,28,0.3980799916691094,0.0888717994093895,0.5143279970841885,Frankenstein.txt
6,29,0.3471479531177811,0.07491297274827957,0.49650178359122366,Frankenstein.txt
6,30,0.40041762363057903,0.07146792113780975,0.5151461682707029,Frankenstein.txt
6,31,0.45561387681334775,0.063991978764534,0.5344648568846719,Frankenstein.txt
6,32,0.4064703403186103,0.07156838476657867,0.5172646191115138,Frankenstein.txt
6,33,0.39150246975555486,0.07709962874650955,0.5120258644144444,Frankenstein.txt
6,34,0.40291870216756753,0.08301056176424026,0.5160215457586489,Frankenstein.txt
6,35,0.3767834476858466,0.06796925514936447,0.5068742066900466,Frankenstein.txt
6,36,0.3508600968551269,0.05760318413376808,0.4978010338992947,Frankenstein.txt
6,37,0.3998428516028324,0.07694125175476074,0.5149449980609916,Frankenstein.txt
6,38,0.4182529606974702,0.06600283831357956,0.5213885362441149,Frankenstein.txt
6,39,0.41894566795613897,0.06170806661248207,0.5216309837846489,Frankenstein.txt
6,40,0.38650944847065644,0.06242385879158974,0.51027830696473,Frankenstein.txt
6,41,0.3311475261942194,0.07328502088785172,0.490901634167977,Frankenstein.txt
