rank,variant_name,source_mode,eval_mode,min_bars,gate_total,gate_quality,gate_reliability,gate_5,gate_20,gate_60,gate_sp_plus_4_proxy_avg,gate_coverage,gate_fallback,h5,h20,h60,avg_outcome_over_index_pct,coverage_rate,fallback_rate,policy_path
1,policy_runtime_current,runtime,runtime,252,0,0,0,False,False,False,False,False,False,75.0,66.3716814159292,40.5,60.623893805309734,0.7786301876328681,0.2213698123671319,/workspaces/Tao_Financial_Engine/pscf_policy_runtime.json
2,policy_rowtrace_rowtrace,rowtrace,rowtrace,252,0,0,0,False,False,False,False,False,False,75.0,66.3716814159292,40.5,60.623893805309734,0.7786301876328681,0.2213698123671319,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260304T223603Z.json
3,policy_runtime_current,runtime,runtime,378,0,0,0,False,False,False,False,False,False,75.0,66.3716814159292,40.5,60.623893805309734,0.7134670487106017,0.28653295128939826,/workspaces/Tao_Financial_Engine/pscf_policy_runtime.json
4,policy_rowtrace_rowtrace,rowtrace,rowtrace,378,0,0,0,False,False,False,False,False,False,75.0,66.3716814159292,40.5,60.623893805309734,0.7134670487106017,0.28653295128939826,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260304T223603Z.json
5,policy_runtime_current,runtime,runtime,514,0,0,0,False,False,False,False,False,False,75.0,66.3716814159292,40.5,60.623893805309734,0.6682687863943063,0.3317312136056937,/workspaces/Tao_Financial_Engine/pscf_policy_runtime.json
6,policy_rowtrace_rowtrace,rowtrace,rowtrace,514,0,0,0,False,False,False,False,False,False,75.0,66.3716814159292,40.5,60.623893805309734,0.6682687863943063,0.3317312136056937,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260304T223603Z.json
7,policy_replay_replay,replay,replay,252,0,0,0,False,False,False,False,False,False,73.07692307692308,62.83185840707964,32.0,55.96959382800091,0.7786301876328681,0.2213698123671319,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260304T222829Z.json
8,policy_replay_replay,replay,replay,378,0,0,0,False,False,False,False,False,False,73.07692307692308,62.83185840707964,32.0,55.96959382800091,0.7134670487106017,0.28653295128939826,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260304T222829Z.json
9,policy_replay_replay,replay,replay,514,0,0,0,False,False,False,False,False,False,73.07692307692308,62.83185840707964,32.0,55.96959382800091,0.6682687863943063,0.3317312136056937,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260304T222829Z.json
