rank,variant_name,source_mode,eval_mode,min_bars,gate_total,gate_quality,gate_reliability,gate_5,gate_20,gate_60,gate_sp_plus_4_proxy_avg,gate_coverage,gate_fallback,h5,h20,h60,avg_outcome_over_index_pct,coverage_rate,fallback_rate,policy_path
1,policy_runtime_current,runtime,runtime,252,0,0,0,False,False,False,False,False,False,75.0,66.3716814159292,40.5,60.623893805309734,0.7701266290784731,0.22987337092152693,/workspaces/Tao_Financial_Engine/pscf_policy_runtime.json
2,policy_rowtrace_rowtrace,rowtrace,rowtrace,252,0,0,0,False,False,False,False,False,False,75.0,66.3716814159292,40.5,60.623893805309734,0.7701266290784731,0.22987337092152693,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260304T213736Z.json
3,policy_runtime_current,runtime,runtime,378,0,0,0,False,False,False,False,False,False,75.0,66.3716814159292,40.5,60.623893805309734,0.7092152694334042,0.2907847305665958,/workspaces/Tao_Financial_Engine/pscf_policy_runtime.json
4,policy_rowtrace_rowtrace,rowtrace,rowtrace,378,0,0,0,False,False,False,False,False,False,75.0,66.3716814159292,40.5,60.623893805309734,0.7092152694334042,0.2907847305665958,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260304T213736Z.json
5,policy_runtime_current,runtime,runtime,514,0,0,0,False,False,False,False,False,False,75.0,66.3716814159292,40.5,60.623893805309734,0.6642018670856826,0.3357981329143174,/workspaces/Tao_Financial_Engine/pscf_policy_runtime.json
6,policy_rowtrace_rowtrace,rowtrace,rowtrace,514,0,0,0,False,False,False,False,False,False,75.0,66.3716814159292,40.5,60.623893805309734,0.6642018670856826,0.3357981329143174,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260304T213736Z.json
7,policy_replay_replay,replay,replay,252,0,0,0,False,False,False,False,False,False,73.07692307692308,64.60176991150442,31.5,56.39289766280916,0.7701266290784731,0.22987337092152693,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260304T213115Z.json
8,policy_replay_replay,replay,replay,378,0,0,0,False,False,False,False,False,False,73.07692307692308,64.60176991150442,31.5,56.39289766280916,0.7092152694334042,0.2907847305665958,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260304T213115Z.json
9,policy_replay_replay,replay,replay,514,0,0,0,False,False,False,False,False,False,73.07692307692308,64.60176991150442,31.5,56.39289766280916,0.6642018670856826,0.3357981329143174,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260304T213115Z.json
