rank,variant_name,source_mode,eval_mode,min_bars,gate_total,gate_quality,gate_reliability,gate_5,gate_20,gate_60,gate_sp_plus_4_proxy_avg,gate_coverage,gate_fallback,h5,h20,h60,avg_outcome_over_index_pct,coverage_rate,fallback_rate,policy_path
1,policy_runtime_current,runtime,runtime,252,1,1,0,False,False,False,True,False,False,76.92307692307692,70.79646017699115,47.0,64.90651236668936,0.78066364728718,0.21933635271282004,/workspaces/Tao_Financial_Engine/pscf_policy_runtime.json
2,policy_runtime_current,runtime,runtime,378,1,1,0,False,False,False,True,False,False,76.92307692307692,70.79646017699115,47.0,64.90651236668936,0.7140216286163231,0.2859783713836769,/workspaces/Tao_Financial_Engine/pscf_policy_runtime.json
3,policy_runtime_current,runtime,runtime,514,1,1,0,False,False,False,True,False,False,76.92307692307692,70.79646017699115,47.0,64.90651236668936,0.6686385063314539,0.33136149366854606,/workspaces/Tao_Financial_Engine/pscf_policy_runtime.json
4,policy_replay_replay,replay,replay,252,0,0,0,False,False,False,False,False,False,73.07692307692308,67.2566371681416,34.5,58.27785341502156,0.78066364728718,0.21933635271282004,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260309T144308Z.json
5,policy_replay_replay,replay,replay,378,0,0,0,False,False,False,False,False,False,73.07692307692308,67.2566371681416,34.5,58.27785341502156,0.7140216286163231,0.2859783713836769,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260309T144308Z.json
6,policy_replay_replay,replay,replay,514,0,0,0,False,False,False,False,False,False,73.07692307692308,67.2566371681416,34.5,58.27785341502156,0.6686385063314539,0.33136149366854606,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260309T144308Z.json
7,policy_rowtrace_rowtrace,rowtrace,rowtrace,252,0,0,0,False,False,False,False,False,False,73.07692307692308,67.2566371681416,33.5,57.94452008168823,0.7861170163601072,0.21388298363989278,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260309T144915Z.json
8,policy_rowtrace_rowtrace,rowtrace,rowtrace,378,0,0,0,False,False,False,False,False,False,73.07692307692308,67.2566371681416,33.5,57.94452008168823,0.7191977077363897,0.2808022922636103,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260309T144915Z.json
9,policy_rowtrace_rowtrace,rowtrace,rowtrace,514,0,0,0,False,False,False,False,False,False,73.07692307692308,67.2566371681416,33.5,57.94452008168823,0.6737221554672336,0.3262778445327664,/workspaces/Tao_Financial_Engine/backups/runtime/l5_policy_learning/pscf-policy-candidate-20260309T144915Z.json
