step,file,chunk,phi,H,energy,visual,auditory,smell,taste,touch,emotion,lexical
239,Paradise Lost.txt,50,0.500,0.000,0.500,0.935,0.909,0.921,0.861,0.954,0.668,0.000
240,Paradise Lost.txt,51,0.500,0.000,0.500,0.909,0.918,0.922,0.868,0.972,0.444,0.000
241,Paradise Lost.txt,52,0.500,0.000,0.500,0.913,0.931,0.936,0.904,0.968,0.322,0.000
242,Paradise Lost.txt,53,0.500,0.000,0.500,0.919,0.915,0.923,0.940,0.879,0.236,0.000
243,Paradise Lost.txt,54,0.500,0.000,0.500,0.933,0.922,0.935,0.952,0.892,0.210,0.000
244,Paradise Lost.txt,55,0.500,0.000,0.500,0.901,0.887,0.905,0.939,0.910,0.565,0.000
245,Paradise Lost.txt,56,0.500,0.000,0.500,0.925,0.871,0.933,0.902,0.946,0.596,0.000
246,Paradise Lost.txt,57,0.500,0.000,0.500,0.927,0.869,0.951,0.927,0.902,0.710,0.000
247,Paradise Lost.txt,58,0.500,0.000,0.500,0.883,0.884,0.885,0.907,0.930,0.731,0.000
248,Paradise Lost.txt,59,0.500,0.000,0.500,0.915,0.919,0.883,0.906,0.896,0.765,0.000
249,Works of Edgar Allan Poe.txt,0,0.500,0.000,0.500,0.915,0.888,0.901,0.899,0.920,0.851,0.000
250,Works of Edgar Allan Poe.txt,1,0.500,0.000,0.500,0.934,0.866,0.910,0.928,0.909,0.913,0.000
251,Works of Edgar Allan Poe.txt,2,0.500,0.000,0.500,0.927,0.840,0.917,0.941,0.909,0.951,0.000
252,Works of Edgar Allan Poe.txt,3,0.500,0.000,0.500,0.937,0.884,0.891,0.900,0.921,0.973,0.000
253,Works of Edgar Allan Poe.txt,4,0.500,0.000,0.500,0.951,0.848,0.915,0.916,0.903,0.985,0.000
254,Works of Edgar Allan Poe.txt,5,0.500,0.000,0.500,0.921,0.883,0.935,0.933,0.936,0.992,0.000
255,Works of Edgar Allan Poe.txt,6,0.500,0.000,0.500,0.928,0.932,0.895,0.838,0.936,0.995,0.000
256,Works of Edgar Allan Poe.txt,7,0.500,0.000,0.500,0.912,0.904,0.920,0.836,0.959,0.997,0.000
257,Works of Edgar Allan Poe.txt,8,0.500,0.000,0.500,0.880,0.914,0.914,0.899,0.923,0.630,0.000
258,Works of Edgar Allan Poe.txt,9,0.500,0.000,0.500,0.888,0.923,0.935,0.910,0.936,0.796,0.000
259,Works of Edgar Allan Poe.txt,10,0.500,0.000,0.500,0.902,0.934,0.897,0.870,0.938,0.888,0.000
260,Works of Edgar Allan Poe.txt,11,0.500,0.000,0.500,0.913,0.931,0.906,0.882,0.904,0.938,0.000
261,Works of Edgar Allan Poe.txt,12,0.500,0.000,0.500,0.928,0.937,0.909,0.874,0.939,0.966,0.000
262,Works of Edgar Allan Poe.txt,13,0.500,0.000,0.500,0.911,0.952,0.934,0.907,0.947,0.981,0.000
263,Works of Edgar Allan Poe.txt,14,0.500,0.000,0.500,0.904,0.943,0.937,0.926,0.950,0.990,0.000
264,Works of Edgar Allan Poe.txt,15,0.500,0.000,0.500,0.917,0.937,0.930,0.931,0.929,0.994,0.000
265,Works of Edgar Allan Poe.txt,16,0.500,0.000,0.500,0.929,0.925,0.941,0.908,0.920,0.628,0.000
266,Works of Edgar Allan Poe.txt,17,0.500,0.000,0.500,0.926,0.929,0.951,0.924,0.954,0.795,0.000
267,Works of Edgar Allan Poe.txt,18,0.500,0.000,0.500,0.930,0.909,0.908,0.902,0.964,0.887,0.000
268,Works of Edgar Allan Poe.txt,19,0.500,0.000,0.500,0.941,0.934,0.940,0.879,0.893,0.938,0.000
269,Works of Edgar Allan Poe.txt,20,0.500,0.000,0.500,0.925,0.920,0.944,0.875,0.935,0.966,0.000
270,Works of Edgar Allan Poe.txt,21,0.500,0.000,0.500,0.913,0.923,0.943,0.883,0.925,0.981,0.000
271,Works of Edgar Allan Poe.txt,22,0.500,0.000,0.500,0.942,0.940,0.927,0.891,0.949,0.990,0.000
272,Works of Edgar Allan Poe.txt,23,0.500,0.000,0.500,0.948,0.915,0.886,0.889,0.938,0.994,0.000
273,Works of Edgar Allan Poe.txt,24,0.500,0.000,0.500,0.940,0.892,0.856,0.877,0.921,0.997,0.000
274,Works of Edgar Allan Poe.txt,25,0.500,0.000,0.500,0.931,0.901,0.916,0.880,0.921,0.769,0.000
275,Works of Edgar Allan Poe.txt,26,0.500,0.000,0.500,0.930,0.927,0.892,0.885,0.942,0.833,0.000
276,Works of Edgar Allan Poe.txt,27,0.500,0.000,0.500,0.925,0.923,0.923,0.917,0.923,0.898,0.000
277,Works of Edgar Allan Poe.txt,28,0.500,0.000,0.500,0.926,0.935,0.907,0.945,0.933,0.941,0.000
278,Works of Edgar Allan Poe.txt,29,0.500,0.000,0.500,0.919,0.850,0.899,0.937,0.901,0.768,0.000
279,Works of Edgar Allan Poe.txt,30,0.500,0.000,0.500,0.917,0.890,0.926,0.953,0.913,0.823,0.000
280,Works of Edgar Allan Poe.txt,31,0.500,0.000,0.500,0.926,0.910,0.936,0.868,0.917,0.890,0.000
281,Works of Edgar Allan Poe.txt,32,0.500,0.000,0.500,0.948,0.920,0.931,0.918,0.938,0.936,0.000
282,Works of Edgar Allan Poe.txt,33,0.500,0.000,0.500,0.932,0.924,0.927,0.879,0.936,0.964,0.000
283,Works of Edgar Allan Poe.txt,34,0.500,0.000,0.500,0.944,0.924,0.950,0.889,0.956,0.980,0.000
284,Works of Edgar Allan Poe.txt,35,0.500,0.000,0.500,0.942,0.932,0.932,0.897,0.968,0.989,0.000
285,Works of Edgar Allan Poe.txt,36,0.500,0.000,0.500,0.964,0.925,0.946,0.933,0.946,0.994,0.000
286,Works of Edgar Allan Poe.txt,37,0.500,0.000,0.500,0.955,0.922,0.936,0.949,0.927,0.997,0.000
287,Works of Edgar Allan Poe.txt,38,0.500,0.000,0.500,0.950,0.921,0.912,0.934,0.939,0.998,0.000
288,Works of Edgar Allan Poe.txt,39,0.500,0.000,0.500,0.902,0.892,0.898,0.925,0.925,0.999,0.000
289,Works of Edgar Allan Poe.txt,40,0.500,0.000,0.500,0.895,0.904,0.914,0.923,0.909,0.631,0.000
290,Works of Edgar Allan Poe.txt,41,0.500,0.000,0.500,0.899,0.915,0.900,0.901,0.935,0.797,0.000
291,Works of Edgar Allan Poe.txt,42,0.500,0.000,0.500,0.914,0.890,0.906,0.905,0.870,0.683,0.000
292,Works of Edgar Allan Poe.txt,43,0.500,0.000,0.500,0.914,0.864,0.865,0.900,0.915,0.775,0.000
293,Works of Edgar Allan Poe.txt,44,0.500,0.000,0.500,0.843,0.869,0.877,0.924,0.920,0.865,0.000
294,Works of Edgar Allan Poe.txt,45,0.500,0.000,0.500,0.870,0.907,0.914,0.934,0.941,0.923,0.000
295,Works of Edgar Allan Poe.txt,46,0.500,0.000,0.500,0.887,0.914,0.907,0.941,0.892,0.957,0.000
296,Works of Edgar Allan Poe.txt,47,0.500,0.000,0.500,0.925,0.922,0.933,0.963,0.875,0.976,0.000
297,Works of Edgar Allan Poe.txt,48,0.500,0.000,0.500,0.935,0.909,0.943,0.933,0.919,0.987,0.000
298,Works of Edgar Allan Poe.txt,49,0.500,0.000,0.500,0.934,0.892,0.959,0.922,0.946,0.769,0.000
299,Works of Edgar Allan Poe.txt,50,0.500,0.000,0.500,0.943,0.902,0.927,0.924,0.950,0.810,0.000
300,Works of Edgar Allan Poe.txt,51,0.500,0.000,0.500,0.926,0.910,0.922,0.955,0.899,0.880,0.000
301,Works of Edgar Allan Poe.txt,52,0.500,0.000,0.500,0.907,0.884,0.936,0.926,0.921,0.770,0.000
302,Works of Edgar Allan Poe.txt,53,0.500,0.000,0.500,0.897,0.874,0.960,0.873,0.885,0.831,0.000
303,Works of Edgar Allan Poe.txt,54,0.500,0.000,0.500,0.905,0.860,0.965,0.929,0.833,0.896,0.000
304,Works of Edgar Allan Poe.txt,55,0.500,0.000,0.500,0.931,0.892,0.963,0.876,0.879,0.940,0.000
305,Works of Edgar Allan Poe.txt,56,0.500,0.000,0.500,0.945,0.907,0.940,0.922,0.863,0.598,0.000
306,Works of Edgar Allan Poe.txt,57,0.500,0.000,0.500,0.922,0.914,0.919,0.951,0.889,0.778,0.000
307,Works of Edgar Allan Poe.txt,58,0.500,0.000,0.500,0.921,0.916,0.904,0.968,0.862,0.878,0.000
308,Works of Edgar Allan Poe.txt,59,0.500,0.000,0.500,0.916,0.902,0.884,0.976,0.897,0.933,0.000
309,Anatomy  of  the  Brain.txt,0,0.500,0.000,0.500,0.924,0.898,0.908,0.972,0.833,0.963,0.000
310,Anatomy  of  the  Brain.txt,1,0.500,0.000,0.500,0.944,0.903,0.915,0.954,0.866,0.980,0.000
311,Anatomy  of  the  Brain.txt,2,0.500,0.000,0.500,0.925,0.934,0.942,0.962,0.895,0.989,0.000
312,Anatomy  of  the  Brain.txt,3,0.500,0.000,0.500,0.918,0.898,0.945,0.901,0.926,0.994,0.000
313,Anatomy  of  the  Brain.txt,4,0.500,0.000,0.500,0.923,0.909,0.934,0.938,0.875,0.997,0.000
314,Anatomy  of  the  Brain.txt,5,0.500,0.000,0.500,0.913,0.936,0.955,0.948,0.869,0.998,0.000
315,Anatomy  of  the  Brain.txt,6,0.500,0.000,0.500,0.920,0.903,0.952,0.910,0.898,0.999,0.000
316,Anatomy  of  the  Brain.txt,7,0.500,0.000,0.500,0.921,0.902,0.882,0.860,0.932,0.999,0.000
317,Anatomy  of  the  Brain.txt,8,0.500,0.000,0.500,0.930,0.930,0.907,0.894,0.895,1.000,0.000
318,Anatomy  of  the  Brain.txt,9,0.500,0.000,0.500,0.920,0.917,0.914,0.916,0.899,1.000,0.000
319,Anatomy  of  the  Brain.txt,10,0.500,0.000,0.500,0.927,0.936,0.899,0.925,0.888,1.000,0.000
320,Anatomy  of  the  Brain.txt,11,0.500,0.000,0.500,0.938,0.946,0.910,0.916,0.892,1.000,0.000
321,Anatomy  of  the  Brain.txt,12,0.500,0.000,0.500,0.937,0.950,0.914,0.909,0.935,1.000,0.000
322,Anatomy  of  the  Brain.txt,13,0.500,0.000,0.500,0.939,0.949,0.936,0.936,0.950,1.000,0.000
323,Anatomy  of  the  Brain.txt,14,0.500,0.000,0.500,0.941,0.950,0.934,0.952,0.928,1.000,0.000
324,Anatomy  of  the  Brain.txt,15,0.500,0.000,0.500,0.941,0.930,0.919,0.964,0.949,1.000,0.000
325,Anatomy  of  the  Brain.txt,16,0.500,0.000,0.500,0.933,0.922,0.887,0.948,0.937,1.000,0.000
326,Anatomy  of  the  Brain.txt,17,0.500,0.000,0.500,0.899,0.915,0.917,0.953,0.955,1.000,0.000
327,Anatomy  of  the  Brain.txt,18,0.500,0.000,0.500,0.919,0.921,0.930,0.962,0.954,1.000,0.000
328,Anatomy  of  the  Brain.txt,19,0.500,0.000,0.500,0.887,0.935,0.872,0.968,0.945,1.000,0.000
329,Anatomy  of  the  Brain.txt,20,0.500,0.000,0.500,0.895,0.911,0.872,0.964,0.938,1.000,0.000
330,Anatomy  of  the  Brain.txt,21,0.500,0.000,0.500,0.889,0.911,0.873,0.929,0.908,1.000,0.000
331,Anatomy  of  the  Brain.txt,22,0.500,0.000,0.500,0.887,0.854,0.892,0.871,0.866,1.000,0.000
332,Anatomy  of  the  Brain.txt,23,0.500,0.000,0.500,0.914,0.879,0.926,0.922,0.909,1.000,0.000
333,Anatomy  of  the  Brain.txt,24,0.500,0.000,0.500,0.937,0.920,0.938,0.901,0.919,1.000,0.000
334,Anatomy  of  the  Brain.txt,25,0.500,0.000,0.500,0.932,0.939,0.931,0.886,0.945,1.000,0.000
335,Anatomy  of  the  Brain.txt,26,0.500,0.000,0.500,0.911,0.927,0.898,0.924,0.934,1.000,0.000
336,Anatomy  of  the  Brain.txt,27,0.500,0.000,0.500,0.897,0.919,0.929,0.948,0.944,1.000,0.000
337,Anatomy  of  the  Brain.txt,28,0.500,0.000,0.500,0.901,0.891,0.943,0.870,0.955,1.000,0.000
338,Anatomy  of  the  Brain.txt,29,0.500,0.000,0.500,0.878,0.912,0.928,0.922,0.973,1.000,0.000
339,Anatomy  of  the  Brain.txt,30,0.500,0.000,0.500,0.919,0.929,0.897,0.911,0.927,1.000,0.000
340,Anatomy  of  the  Brain.txt,31,0.500,0.000,0.500,0.930,0.933,0.903,0.914,0.895,1.000,0.000
341,Anatomy  of  the  Brain.txt,32,0.500,0.000,0.500,0.919,0.949,0.891,0.904,0.933,1.000,0.000
342,Anatomy  of  the  Brain.txt,33,0.500,0.000,0.500,0.926,0.931,0.894,0.871,0.941,1.000,0.000
343,Anatomy  of  the  Brain.txt,34,0.500,0.000,0.500,0.929,0.944,0.927,0.911,0.922,1.000,0.000
344,Anatomy  of  the  Brain.txt,35,0.500,0.000,0.500,0.938,0.898,0.910,0.932,0.938,1.000,0.000
345,Anatomy  of  the  Brain.txt,36,0.500,0.000,0.500,0.912,0.897,0.888,0.923,0.950,1.000,0.000
346,Anatomy  of  the  Brain.txt,37,0.500,0.000,0.500,0.914,0.879,0.907,0.819,0.905,1.000,0.000
347,Anatomy  of  the  Brain.txt,38,0.500,0.000,0.500,0.908,0.903,0.887,0.881,0.877,1.000,0.000
348,Anatomy  of  the  Brain.txt,39,0.500,0.000,0.500,0.925,0.880,0.908,0.875,0.890,1.000,0.000
349,Anatomy  of  the  Brain.txt,40,0.500,0.000,0.500,0.913,0.894,0.926,0.904,0.935,1.000,0.000
350,Anatomy  of  the  Brain.txt,41,0.500,0.000,0.500,0.937,0.877,0.905,0.885,0.909,1.000,0.000
351,Anatomy  of  the  Brain.txt,42,0.500,0.000,0.500,0.955,0.923,0.867,0.859,0.861,1.000,0.000
352,Anatomy  of  the  Brain.txt,43,0.500,0.000,0.500,0.935,0.937,0.910,0.845,0.894,1.000,0.000
353,Anatomy  of  the  Brain.txt,44,0.500,0.000,0.500,0.931,0.943,0.906,0.912,0.922,1.000,0.000
354,Anatomy  of  the  Brain.txt,45,0.500,0.000,0.500,0.913,0.951,0.921,0.935,0.927,1.000,0.000
355,Anatomy  of  the  Brain.txt,46,0.500,0.000,0.500,0.919,0.934,0.903,0.924,0.872,1.000,0.000
356,Anatomy  of  the  Brain.txt,47,0.500,0.000,0.500,0.917,0.928,0.909,0.919,0.912,1.000,0.000
357,Anatomy  of  the  Brain.txt,48,0.500,0.000,0.500,0.918,0.944,0.903,0.899,0.920,1.000,0.000
358,Anatomy  of  the  Brain.txt,49,0.500,0.000,0.500,0.910,0.955,0.929,0.894,0.927,1.000,0.000
359,Anatomy  of  the  Brain.txt,50,0.500,0.000,0.500,0.926,0.948,0.928,0.901,0.921,1.000,0.000
360,Anatomy  of  the  Brain.txt,51,0.500,0.000,0.500,0.943,0.912,0.927,0.937,0.935,1.000,0.000
361,Anatomy  of  the  Brain.txt,52,0.500,0.000,0.500,0.937,0.912,0.899,0.934,0.937,1.000,0.000
362,Anatomy  of  the  Brain.txt,53,0.500,0.000,0.500,0.922,0.936,0.870,0.955,0.956,1.000,0.000
363,Anatomy  of  the  Brain.txt,54,0.500,0.000,0.500,0.889,0.905,0.926,0.919,0.921,1.000,0.000
364,Anatomy  of  the  Brain.txt,55,0.500,0.000,0.500,0.895,0.930,0.925,0.863,0.907,1.000,0.000
365,Anatomy  of  the  Brain.txt,56,0.500,0.000,0.500,0.908,0.944,0.898,0.865,0.876,1.000,0.000
366,Anatomy  of  the  Brain.txt,57,0.500,0.000,0.500,0.900,0.905,0.895,0.876,0.894,1.000,0.000
367,Anatomy  of  the  Brain.txt,58,0.500,0.000,0.500,0.898,0.915,0.926,0.901,0.910,1.000,0.000
368,Anatomy  of  the  Brain.txt,59,0.500,0.000,0.500,0.887,0.868,0.915,0.890,0.901,1.000,0.000
369,APPLIED PHYSIOLOGY.txt,0,0.500,0.000,0.500,0.900,0.894,0.927,0.880,0.886,1.000,0.000
370,APPLIED PHYSIOLOGY.txt,1,0.500,0.000,0.500,0.913,0.888,0.919,0.910,0.920,1.000,0.000
371,APPLIED PHYSIOLOGY.txt,2,0.500,0.000,0.500,0.918,0.892,0.941,0.894,0.896,1.000,0.000
372,APPLIED PHYSIOLOGY.txt,3,0.500,0.000,0.500,0.934,0.883,0.928,0.881,0.894,1.000,0.000
373,APPLIED PHYSIOLOGY.txt,4,0.500,0.000,0.500,0.928,0.907,0.916,0.934,0.919,1.000,0.000
374,APPLIED PHYSIOLOGY.txt,5,0.500,0.000,0.500,0.919,0.898,0.916,0.947,0.942,1.000,0.000
375,APPLIED PHYSIOLOGY.txt,6,0.500,0.000,0.500,0.911,0.915,0.891,0.933,0.934,1.000,0.000
376,APPLIED PHYSIOLOGY.txt,7,0.500,0.000,0.500,0.935,0.906,0.838,0.933,0.919,1.000,0.000
377,APPLIED PHYSIOLOGY.txt,8,0.500,0.000,0.500,0.905,0.929,0.874,0.872,0.910,1.000,0.000
378,APPLIED PHYSIOLOGY.txt,9,0.500,0.000,0.500,0.913,0.938,0.893,0.898,0.873,1.000,0.000
379,APPLIED PHYSIOLOGY.txt,10,0.500,0.000,0.500,0.891,0.932,0.913,0.821,0.888,1.000,0.000
380,APPLIED PHYSIOLOGY.txt,11,0.500,0.000,0.500,0.876,0.927,0.912,0.839,0.918,1.000,0.000
381,APPLIED PHYSIOLOGY.txt,12,0.500,0.000,0.500,0.862,0.916,0.888,0.902,0.950,1.000,0.000
382,APPLIED PHYSIOLOGY.txt,13,0.500,0.000,0.500,0.867,0.916,0.893,0.939,0.952,1.000,0.000
383,APPLIED PHYSIOLOGY.txt,14,0.500,0.000,0.500,0.888,0.922,0.915,0.915,0.954,1.000,0.000
384,APPLIED PHYSIOLOGY.txt,15,0.500,0.000,0.500,0.860,0.929,0.918,0.937,0.927,1.000,0.000
385,APPLIED PHYSIOLOGY.txt,16,0.500,0.000,0.500,0.842,0.911,0.896,0.940,0.951,1.000,0.000
386,APPLIED PHYSIOLOGY.txt,17,0.500,0.000,0.500,0.852,0.935,0.861,0.890,0.961,1.000,0.000
387,APPLIED PHYSIOLOGY.txt,18,0.500,0.000,0.500,0.910,0.938,0.841,0.885,0.927,1.000,0.000
388,APPLIED PHYSIOLOGY.txt,19,0.500,0.000,0.500,0.931,0.939,0.898,0.916,0.946,1.000,0.000
389,APPLIED PHYSIOLOGY.txt,20,0.500,0.000,0.500,0.923,0.936,0.916,0.927,0.936,1.000,0.000
390,APPLIED PHYSIOLOGY.txt,21,0.500,0.000,0.500,0.926,0.939,0.863,0.848,0.876,1.000,0.000
391,APPLIED PHYSIOLOGY.txt,22,0.500,0.000,0.500,0.930,0.949,0.867,0.912,0.912,1.000,0.000
392,APPLIED PHYSIOLOGY.txt,23,0.500,0.000,0.500,0.940,0.938,0.895,0.915,0.905,1.000,0.000
393,APPLIED PHYSIOLOGY.txt,24,0.500,0.000,0.500,0.910,0.940,0.913,0.934,0.936,1.000,0.000
394,APPLIED PHYSIOLOGY.txt,25,0.500,0.000,0.500,0.901,0.878,0.933,0.910,0.832,1.000,0.000
395,APPLIED PHYSIOLOGY.txt,26,0.500,0.000,0.500,0.881,0.861,0.921,0.910,0.823,0.631,0.000
396,APPLIED PHYSIOLOGY.txt,27,0.500,0.000,0.500,0.891,0.911,0.878,0.890,0.883,0.797,0.000
397,APPLIED PHYSIOLOGY.txt,28,0.500,0.000,0.500,0.898,0.913,0.898,0.879,0.904,0.888,0.000
398,APPLIED PHYSIOLOGY.txt,29,0.500,0.000,0.500,0.912,0.909,0.871,0.897,0.892,0.939,0.000
399,APPLIED PHYSIOLOGY.txt,30,0.500,0.000,0.500,0.908,0.934,0.906,0.929,0.919,0.966,0.000
400,APPLIED PHYSIOLOGY.txt,31,0.500,0.000,0.500,0.926,0.910,0.909,0.911,0.920,0.981,0.000
401,APPLIED PHYSIOLOGY.txt,32,0.500,0.000,0.500,0.899,0.921,0.930,0.910,0.949,0.990,0.000
402,APPLIED PHYSIOLOGY.txt,33,0.500,0.000,0.500,0.899,0.936,0.942,0.899,0.951,0.994,0.000
403,APPLIED PHYSIOLOGY.txt,34,0.500,0.000,0.500,0.881,0.926,0.881,0.914,0.932,0.997,0.000
404,APPLIED PHYSIOLOGY.txt,35,0.500,0.000,0.500,0.910,0.945,0.892,0.916,0.922,0.998,0.000
405,APPLIED PHYSIOLOGY.txt,36,0.500,0.000,0.500,0.907,0.957,0.910,0.918,0.927,0.999,0.000
406,APPLIED PHYSIOLOGY.txt,37,0.500,0.000,0.500,0.901,0.902,0.933,0.892,0.901,0.999,0.000
407,APPLIED PHYSIOLOGY.txt,38,0.500,0.000,0.500,0.920,0.909,0.932,0.896,0.937,1.000,0.000
408,APPLIED PHYSIOLOGY.txt,39,0.500,0.000,0.500,0.945,0.933,0.919,0.886,0.912,1.000,0.000
409,APPLIED PHYSIOLOGY.txt,40,0.500,0.000,0.500,0.925,0.920,0.915,0.906,0.914,1.000,0.000
410,APPLIED PHYSIOLOGY.txt,41,0.500,0.000,0.500,0.930,0.917,0.945,0.947,0.946,0.631,0.000
411,APPLIED PHYSIOLOGY.txt,42,0.500,0.000,0.500,0.931,0.922,0.888,0.934,0.930,0.797,0.000
412,APPLIED PHYSIOLOGY.txt,43,0.500,0.000,0.500,0.927,0.927,0.908,0.894,0.953,0.888,0.000
413,APPLIED PHYSIOLOGY.txt,44,0.500,0.000,0.500,0.916,0.936,0.931,0.887,0.934,0.939,0.000
414,APPLIED PHYSIOLOGY.txt,45,0.500,0.000,0.500,0.876,0.909,0.930,0.812,0.955,0.966,0.000
415,APPLIED PHYSIOLOGY.txt,46,0.500,0.000,0.500,0.916,0.890,0.931,0.876,0.909,0.981,0.000
416,APPLIED PHYSIOLOGY.txt,47,0.500,0.000,0.500,0.916,0.922,0.945,0.889,0.897,0.990,0.000
417,APPLIED PHYSIOLOGY.txt,48,0.500,0.000,0.500,0.894,0.893,0.928,0.872,0.913,0.994,0.000
418,APPLIED PHYSIOLOGY.txt,49,0.500,0.000,0.500,0.929,0.911,0.946,0.890,0.899,0.997,0.000
419,APPLIED PHYSIOLOGY.txt,50,0.500,0.000,0.500,0.932,0.891,0.917,0.924,0.936,0.998,0.000
420,APPLIED PHYSIOLOGY.txt,51,0.500,0.000,0.500,0.926,0.896,0.929,0.915,0.962,0.999,0.000
421,APPLIED PHYSIOLOGY.txt,52,0.500,0.000,0.500,0.910,0.887,0.948,0.944,0.971,0.999,0.000
422,APPLIED PHYSIOLOGY.txt,53,0.500,0.000,0.500,0.903,0.914,0.948,0.914,0.862,1.000,0.000
423,APPLIED PHYSIOLOGY.txt,54,0.500,0.000,0.500,0.908,0.887,0.883,0.900,0.915,1.000,0.000
424,APPLIED PHYSIOLOGY.txt,55,0.500,0.000,0.500,0.886,0.839,0.912,0.825,0.930,1.000,0.000
425,APPLIED PHYSIOLOGY.txt,56,0.500,0.000,0.500,0.890,0.866,0.921,0.826,0.892,1.000,0.000
426,APPLIED PHYSIOLOGY.txt,57,0.500,0.000,0.500,0.881,0.852,0.946,0.864,0.934,1.000,0.000
427,APPLIED PHYSIOLOGY.txt,58,0.500,0.000,0.500,0.912,0.863,0.946,0.831,0.867,1.000,0.000
428,APPLIED PHYSIOLOGY.txt,59,0.500,0.000,0.500,0.916,0.899,0.938,0.889,0.908,1.000,0.000
429,nasa_mission.txt,0,0.500,0.000,0.500,0.879,0.908,0.905,0.914,0.932,1.000,0.000
430,weather_noaa.txt,0,0.500,0.000,0.500,0.900,0.921,0.933,0.916,0.930,1.000,0.000
