step,file,chunk,phi,H,energy,visual,auditory,smell,taste,touch,emotion,lexical
46,Nicomachean by Aristotle.txt,46,0.500,0.000,0.500,0.901,0.929,0.912,0.855,0.947,0.536,0.000
47,Nicomachean by Aristotle.txt,47,0.500,0.000,0.500,0.920,0.918,0.946,0.856,0.942,0.739,0.000
48,Nicomachean by Aristotle.txt,48,0.500,0.000,0.500,0.884,0.924,0.893,0.897,0.932,0.855,0.000
49,Nicomachean by Aristotle.txt,49,0.500,0.000,0.500,0.907,0.943,0.894,0.937,0.906,0.721,0.000
50,Nicomachean by Aristotle.txt,50,0.500,0.000,0.500,0.899,0.942,0.909,0.941,0.929,0.795,0.000
51,Nicomachean by Aristotle.txt,51,0.500,0.000,0.500,0.886,0.930,0.935,0.923,0.893,0.876,0.000
52,Nicomachean by Aristotle.txt,52,0.500,0.000,0.500,0.922,0.918,0.951,0.898,0.883,0.762,0.000
53,Nicomachean by Aristotle.txt,53,0.500,0.000,0.500,0.938,0.909,0.963,0.921,0.884,0.818,0.000
54,Nicomachean by Aristotle.txt,54,0.500,0.000,0.500,0.941,0.891,0.917,0.936,0.907,0.891,0.000
55,Nicomachean by Aristotle.txt,55,0.500,0.000,0.500,0.916,0.870,0.893,0.956,0.912,0.938,0.000
56,Nicomachean by Aristotle.txt,56,0.500,0.000,0.500,0.880,0.840,0.901,0.962,0.910,0.965,0.000
57,Nicomachean by Aristotle.txt,57,0.500,0.000,0.500,0.911,0.895,0.928,0.934,0.944,0.767,0.000
58,Nicomachean by Aristotle.txt,58,0.500,0.000,0.500,0.869,0.897,0.920,0.867,0.885,0.827,0.000
59,Nicomachean by Aristotle.txt,59,0.500,0.000,0.500,0.893,0.927,0.914,0.910,0.907,0.894,0.000
60,Speech 1 The Personal Compass.txt,0,0.500,0.000,0.500,0.909,0.914,0.921,0.936,0.937,0.769,0.000
61,Speech 1 The Personal Compass.txt,1,0.500,0.000,0.500,0.887,0.915,0.890,0.936,0.891,0.828,0.000
62,Speech 1 The Personal Compass.txt,2,0.500,0.000,0.500,0.916,0.927,0.924,0.920,0.895,0.777,0.000
63,Speech 2 The Coffee Bean Principle.txt,0,0.500,0.000,0.500,0.922,0.928,0.917,0.955,0.858,0.800,0.000
64,Speech 2 The Coffee Bean Principle.txt,1,0.500,0.000,0.500,0.939,0.913,0.900,0.965,0.873,0.871,0.000
65,Speech 2 The Coffee Bean Principle.txt,2,0.500,0.000,0.500,0.913,0.932,0.914,0.964,0.915,0.924,0.000
66,Speech 3 The Power and Responsibili.txt,0,0.500,0.000,0.500,0.915,0.892,0.931,0.944,0.899,0.957,0.000
67,Speech 3 The Power and Responsibili.txt,1,0.500,0.000,0.500,0.904,0.925,0.933,0.957,0.915,0.976,0.000
68,finance_news.txt,0,0.500,0.000,0.500,0.893,0.896,0.938,0.964,0.928,0.987,0.000
69,Frankenstein.txt,0,0.500,0.000,0.500,0.917,0.908,0.953,0.946,0.895,0.993,0.000
70,Frankenstein.txt,1,0.500,0.000,0.500,0.922,0.922,0.939,0.935,0.890,0.996,0.000
71,Frankenstein.txt,2,0.500,0.000,0.500,0.922,0.922,0.922,0.891,0.882,0.998,0.000
72,Frankenstein.txt,3,0.500,0.000,0.500,0.931,0.913,0.909,0.877,0.933,0.999,0.000
73,Frankenstein.txt,4,0.500,0.000,0.500,0.919,0.929,0.890,0.918,0.913,0.755,0.000
74,Frankenstein.txt,5,0.500,0.000,0.500,0.870,0.896,0.911,0.941,0.933,0.483,0.000
75,Frankenstein.txt,6,0.500,0.000,0.500,0.884,0.917,0.911,0.960,0.934,0.692,0.000
76,Frankenstein.txt,7,0.500,0.000,0.500,0.867,0.919,0.867,0.967,0.947,0.827,0.000
77,Frankenstein.txt,8,0.500,0.000,0.500,0.890,0.924,0.894,0.916,0.937,0.904,0.000
78,Frankenstein.txt,9,0.500,0.000,0.500,0.886,0.931,0.924,0.907,0.902,0.947,0.000
79,Frankenstein.txt,10,0.500,0.000,0.500,0.889,0.942,0.932,0.936,0.902,0.971,0.000
80,Frankenstein.txt,11,0.500,0.000,0.500,0.866,0.938,0.914,0.933,0.909,0.984,0.000
81,Frankenstein.txt,12,0.500,0.000,0.500,0.902,0.945,0.923,0.901,0.914,0.991,0.000
82,Frankenstein.txt,13,0.500,0.000,0.500,0.891,0.915,0.925,0.912,0.937,0.995,0.000
83,Frankenstein.txt,14,0.500,0.000,0.500,0.907,0.903,0.940,0.936,0.918,0.769,0.000
84,Frankenstein.txt,15,0.500,0.000,0.500,0.875,0.894,0.950,0.936,0.901,0.809,0.000
85,Frankenstein.txt,16,0.500,0.000,0.500,0.859,0.923,0.923,0.954,0.933,0.782,0.000
